StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q9 - Parent Topics,Q9 - Topics
2020-05-22 09:47:13,2020-05-22 09:53:42,IP Address,100,389,True,2020-05-22 09:53:42,R_x5DqPwNXXt6ZZGV,anonymous,EN,5e14da8da29f4b000ccc9b1d,Female,Not Hispanic or Latino,White,23,Yes,"Both men were at a bar, got talking and discovered they were both working in the wine industry (one working with buying products for vineyards and the other purchasing wine for corporate events) and coincidentally both had a flight to the same place the next day. They travelled to the airport together and spoke about business, and one of the guy offered the other a sample test for 800 dollars. There was some initial disagreement, as the other guy said there would need to be a high turnover to make up for the potential loss from giving out samples. However, they soon came to a compromise and sealed the deal with a handshake, then departing at their respective flight gates. Once William got onto his flight, he opened up his phone to type out an email letting his business partners know he had sealed the deal. He then ordered a glass of wine from a flight attendant for himself.",No problems or comments ,,
2020-05-27 14:37:44,2020-05-27 14:41:24,IP Address,100,219,True,2020-05-27 14:41:24,R_3Ezk1sycscIFPSp,anonymous,EN,5d46c556fb0ce0001a04fd01,Male,Not Hispanic or Latino,White,38,Yes,aaron and lana were at a lecture and they were called down to the front where aaron got down on 1 knee and proposed to lana the ring was inside a notebook and the ring had 5 red diamonds on the band thats all i can remember sorry,no i didn't have any problems with the survey ,,
2020-05-28 12:03:05,2020-05-28 12:07:07,IP Address,100,241,True,2020-05-28 12:07:07,R_Z2Hh7Q8uGGoRx7z,anonymous,EN,5e70f95a7b8fa90009292b14,Female,Not Hispanic or Latino,White,25,Yes,"Alma and Charlie were entering the lecture hall. Charlie called out to Alma so she would sit next to her. There was a description of the lecture hall, noting that there are three projectors in the room. Charlie reported that he spoke with his colleagues and is willing to fund half of what Alma originally requested, amounting to $28,000. The professor continued to discuss the lecture material, regarding Augustus. Alma reported that she was unable to accept half funding because the data she gathered is based on full-funding and if the implementation was now and not in a few months. Alma reported that they would have to approach Charlie's competitors to secure to rest of the funding and that would set them back months. More was said on the lecture. The assignment was discussed and reported that the midterm was due by e-mail on Thursday. Charlie reported that they would be willing to fully fund the $56,000, noting to himself that his colleagues agreed to this amount if necessary. The class was dismissed and Charlie and Alma stayed behind. They hugged to acknowledge the deal and it was reported that the official paperwork would be signed later.",N/A,,
2020-05-28 12:04:08,2020-05-28 12:09:13,IP Address,100,305,True,2020-05-28 12:09:13,R_2rwjmAH52EMpdO6,anonymous,EN,5e9c9ba01243491be8fe4bdf,Male,Not Hispanic or Latino,White,20,Yes,"Sven and Isabel were a couple that were taking a flight to america, they had just arrived at the airport getting ready to bored there flight later that day, as they were entering the airport they were getting ready to go through security, in the mean time Sven was holding a Wedding ring that he is going to propose with to Isabel, as they approach security Sven and Isabel go through but as Sven approaches he forgets the ring that is in his back pocket, he then is asked to ensure that everything metal is off his body and in a hurry he proposes there and then to Isabel in which she is to starstruck from the unexpected request and the piles of people gathering around them so she hurries off, Sven following they reach a quiet area in which she shouts ""YES!"" to him, with a sigh of joy from Sven he was confused but understanding to why she didn't respond in the first place, now through security they approach there plain ride, they get on the plain and sit in their first class seats, with lots of people congratulating then on their new marriage, one of those people is someone who was tweeting about the whole thing at the same time in which it was going viral online, this made Isabel nervous but also very happy. ",Nope all worked perfectly for me. ,,
2020-05-28 12:09:26,2020-05-28 12:12:15,IP Address,100,168,True,2020-05-28 12:12:15,R_VLqGTGOArYqorRf,anonymous,EN,5d4af994c2eac9001a6a7a33,Male,Not Hispanic or Latino,White,29,Yes,A man and a woman meet for a lunch date. When arriving the woman bangs her head against the door and causes a bit of a scene. The date goes well and they order food. The man takes the initiative and invites the woman on a date to see a concert together. She agrees and they agree to swap numbers and that he will pick her up before the concert. The man has to leave to go back to work but pays for the bills and does a wink as he says that the $50 he leaves at the bar is for both of them..,no issues to report ,,
2020-05-28 12:09:36,2020-05-28 12:14:48,IP Address,100,311,True,2020-05-28 12:14:48,R_3h5h9cgJ99dYwWf,anonymous,EN,5ca50e54edf90d0001846c14,Female,Not Hispanic or Latino,White,41,Yes,"Alex and his girlfriend go to the supermarket. Alex has decided to propose to his girlfriend and knows that if he does so at the supermarket, she will be surprised. Alex has learned that his girlfriend loves surprises. She is choosing cranberry sauce when Alex turns around, pulls out the ring from a crevice in his wallet and looks at it. One diamond on a glittery gold band. They go over to checkout 3 and Alex looks over at his friends before getting down on one knee. He tells his girlfriend that he cannot imagine a second without her and asks him to marry him. There is a delay before she shouts 'yes'. The store assistant scans the shopping, it comes to $14 and Alex pays in cash. His now fianceé takes out her phone and texts her mom, before they walk over to join their friends.",No problems. ,,
2020-06-06 08:07:47,2020-06-06 08:09:56,IP Address,100,129,True,2020-06-06 08:09:56,R_yCup8blm0CTbG1P,anonymous,EN,571ceeb64ca277000953d1c1,Female,Not Hispanic or Latino,White,31,Yes,Emmanuella isn't happy with her relationship and comes out with it suddenly that she is no longer happy and her husband Liam agrees. They are holding a dinner party that evening and agree not to tell anyone and if it slips out then Emanuaella is having Luna the cat. ,,,
2020-06-06 08:05:18,2020-06-06 08:18:44,IP Address,100,806,True,2020-06-06 08:18:45,R_25HPJ8sh8lsqCKY,anonymous,EN,5e0940924cac6822f3574032,Male,Not Hispanic or Latino,White,30,Yes,"Sven and Isabella left taxi, she texted someone, they headed to check in, Sven checked the ring, something he had done many times, A ring with 2 pink diamonds on a silver band. They headed to pass security but was held up by a man with many metal objects. Sven and Isabella had to deposit their items to pass through security at which point Sven had to hold all of Isabella's items. When passing through Sven had forgotten to remove the ring from his pocket and with Isabella watching he had no choice but to purpose on the spot. She was overwhelmed with all the onlookers, grabbed the shoes from the belt and ran off. A nervous Sven hastily grabbed the rest of their belongings and hurried after her. She said yes and they boarded the plane, when sitting in their assigned seats, a women mentioned she had recorded the whole thing and it was going viral. An overjoyed yet embarrassed Isabella buried her face in her hands.",,,
2020-06-06 08:30:36,2020-06-06 08:36:29,IP Address,100,352,True,2020-06-06 08:36:29,R_1oHDld4WOuFUfyz,anonymous,EN,5eda9f7c460b766ded73bdb7,Female,Not Hispanic or Latino,White,22,Yes,"The couple arrive at the airport, with plenty of time left to reach to their gate. They have to get through security first. Before heading through security the male takes a ring out from his pocket and looks at it and quickly puts it back. They are standing in line for security. Once they are nearing the front of the queue, the female forgets that her laptop is still in her luggage and has the male help her get it out. The male, soon after finding the laptop, steps into the airport security scanner and looks at his girlfriend as the bars go round him. The alarms go off and a security staff member, once looking at the x-ray machine screen, asks the male to empty his pockets. Without wasting a minute the male goes to his girlfriend and goes down on knee and asks him to marry him. She collects her belongings and and carries on towards the gate. He catches up to her with his belongings. She turns round and shouts yes. the couple are very happy and the female phones one of her friends to tell them. Once they have boarded their plane a woman sitting near them recognises them as the couple who got engaged and said that she was live tweeting the whole thing. The female of the couple sunk down in her seat embarrassed.",No,,
2020-06-09 13:49:39,2020-06-09 13:52:43,IP Address,100,184,True,2020-06-09 13:52:43,R_xfIdiqrZAQouNS9,anonymous,EN,5bd9fed6780d50000109c503,Male,Not Hispanic or Latino,White,32,Yes,"____ and Lana had been dating for sometime. They were both in a physics class when ____ proposed. He had arranged this with the professor ahead of time, and had even recruited the professor to participate. The professor called them up to the front of the classroom to demonstrate something, but at that point, the professor switched to a slideshow of the couple and _____ dropped to his knee, opened up his tiny notebook to reveal a diamond ring (5 red diamonds on a thick gold band) that he knew Lana would like. She said yes and then texted her sister. A number of their friends were outside the classroom and ran in to congratulate the couple and the professor gave ____ a good solid congratulatory handshake.",No,,
2020-06-09 13:51:13,2020-06-09 13:54:21,IP Address,100,187,True,2020-06-09 13:54:22,R_3kj1YGIXcASB3KS,anonymous,EN,5ea616a090d52b61615dfb3b,Male,Not Hispanic or Latino,White,27,Yes,The story involved two business men. They met for food in a eatery that had taxidermy on the walls. The menus were heavy. They both work in disruptive aviation technology. The deal is worth 600 million. The person who is selling their company wants to still have a say on the running of the business. The seal the deal with the clink of martini glasses.,No,,
2020-06-09 14:00:37,2020-06-09 14:02:18,IP Address,100,100,True,2020-06-09 14:02:18,R_rdotNOpdAro6u2d,anonymous,EN,5eb5f6d5e38e9f4e6c8dde3f,Female,Not Hispanic or Latino,White,22,Yes,"Alma needs money to start up her business idea. Her friend Charlie works for a group that funds new business ideas from their school. They have a meeting during class, and Charlie offers half of the money that Alma needs to start her business. They debate quietly during class, and finally come to the agreement that Charlie will give her the full amount of money. They hug to secure the deal.",I did not encounter any problems.,,
2020-06-09 14:02:56,2020-06-09 14:07:33,IP Address,100,277,True,2020-06-09 14:07:34,R_3PACVrYeqJpWMZd,anonymous,EN,5d4ad488dfd8230018fd0b45,Male,Not Hispanic or Latino,White,32,Yes,"Two people called William and Jeff meet up and are at the airport to try and make a deal on the wines that one of them was selling. They get through security and while on their way to the gates, they are able to agree on a deal and seal it with a handshake. They part ways and tell each other that they'll see each other on the ground already. One of them sits in seat 4A and asks the stewardess for a glass of wine.",nope,,
2020-06-09 14:03:22,2020-06-09 14:08:05,IP Address,100,283,True,2020-06-09 14:08:05,R_2ffghPlAA7TWZq1,anonymous,EN,5eb2e03e93516108a92d3d96,Female,Not Hispanic or Latino,Asian,30,Yes,two people park up outside the grocery store. they approach the store which looks like a big warehouse. the girl is shopping for her barbecue tonight. both people are strangers but do not want to talk first. then end up seeing each other in the meat section. the boy pciks up a chicken and says isnt he cute. she starts laughing. they do their shopping and head to check out. all items are put on to the conveyor belt. the guy asks the girl out on a date. she blushes and starts laughing as he makes a joke. the cashier rolls her eyes when they are not looking. the guy pays for all the groceries. she girl realises shes late for her own barbecue so rushes out of the store.  the guy stands there watching her leave and doesnt hear the remark the cashier made.,no,,
2020-06-09 14:08:36,2020-06-09 14:13:41,IP Address,100,305,True,2020-06-09 14:13:41,R_3nx9OMSOdLlLSXj,anonymous,EN,5c8a2d11f7ab04001042af3c,Male,Not Hispanic or Latino,White,26,Yes,"The story which I was described was called 'Anna-Cadabra' which was a love story between David and Anna. David notices a half-skipped bag belonging to Anna, and a trolley hurtling towards her. Anna gets hit by the trolley, and David asks 'Are you a gymnast as that was a heck of a tumble?' Anna rates his compliment a zero out of ten. David asks Anna whether he can walk her to her gate as he is going in the same direction in the airport. At security they have to wait because the metal detectors are not working. However, they soon are able to pass through security. At the gate, David asks Anna whether they can have dinner next Tuesday. Anna agrees and gives him her contact card before boarding her plane. Once boarded, Anna hugs the blanket next to her as she is joyful. David looks at his watch and it is 10.55am. He looks forward to meeting Anna again.",No I did encounter any problems. Thank you for the fun experiment.,,
2020-06-09 14:12:17,2020-06-09 14:15:22,IP Address,100,185,True,2020-06-09 14:15:23,R_3oHlzNEWeeqXbEp,anonymous,EN,5ccdb020ed1c4f001649810e,Male,Not Hispanic or Latino,Asian,31,Yes,"The story is set in a lecture theatre in a class about history of Egypt. The story is about Leon and Ariana, where Leon thinks he has seen Ariana before but is not sure why. The lecturer starts the lecture about mummification in Egypt, and in the story, Leon and Ariana start to write notes. Later on, Leon sends a note to Ariana to ask if he has seen her in LA, to which Ariana replies it may have been her twin sister. When Ariana saw Leon, she took an instant liking to him, and the couple started sending notes to each other like it was high school. The lecturer continued his lecture, until Leon asked Ariana if she would like to go for a walk, Ariana looked at Leon and nodded. They arranged a time of 8pm to meet outside of Arianas dorm. When the lecture finished, everyone had packed up, apart from the couple. When Ariana spoke to Leon she said she has to go to her next class and it was 12 Noon. She said she should run, and waved bye to Leon - Leon was sure he has met Ariana before, especially after he had heard her voice, however, was not sure where.",No problems.,,
2020-06-10 14:12:52,2020-06-10 14:15:48,IP Address,100,176,True,2020-06-10 14:15:48,R_UVJMn05NU4Derct,anonymous,EN,5ecfb797dc64e1028cc510ba,Female,Not Hispanic or Latino,Asian,24,Yes,"Calvin and Jessie were a couple on holiday, heading to the airport to board their flight back to the States. While going through security, they were held up. After this, Jessie claimed that she wanted to break up with Calvin and that she had been thinking about it the whole time they were on holiday. Calvin agreed to break up with her. They had not booked seats together on the flight so Calvin sat in 36F, a window seat, and Jessie sat in 33A. Before they went to their seats, Jessie shook Calvin's hand and told him to have a nice flight.",No problems,,
2020-06-10 14:14:47,2020-06-10 14:16:48,IP Address,100,121,True,2020-06-10 14:16:48,R_2f2SzBun9dHNQx4,anonymous,EN,5b29a5197297750001c75a5b,Male,Not Hispanic or Latino,White,23,Yes,"The story was regarding the meeting of Simon and Carina at the grocery store. Carina instigated conversation with Simon regaridng a chicken being cute. they got chatting from there. They chatted whilst going around the store. Upon arriving at the checkout, Simon looked Carina in the eye and asked if he could take her to dinner on Saturday night. Carina agreed. Simon then went on to pay for their groceries together, paying $53 on his credit card, to the pleasure of Carina. However, Carina checked the time and realised it was 4:30pm and was late to her own barbeque so had to promptly leave.",No,,
2020-06-10 14:15:53,2020-06-10 14:17:54,IP Address,100,120,True,2020-06-10 14:17:54,R_8xkPRco1HnRRo8p,anonymous,EN,598c282ccceb0f0001b39660,Male,Not Hispanic or Latino,White,55,Yes,"A woman stops to tie her shoe laces at an airport, a man notices a cart is heading towards her and he rushes to save her from being hit by the cart. They make small talk and agree to go out for dinner on her return from her trip. She still manages to make her flight in time. ",none,,
2020-06-10 14:18:29,2020-06-10 14:20:57,IP Address,100,148,True,2020-06-10 14:20:57,R_OOU7Dh8UA0axfvr,anonymous,EN,5d9f8573ce3daf0015e3e400,Male,Not Hispanic or Latino,White,29,Yes,"The couple was at the airport and were in a hurry. A man in front of them was stopped by security because he had a lot of metal on him. Sven was planning to propose to his fiance at some point. Then Sven was also stopped because he had something in his pocket (the ring). It was not his intention to propose at that moment, but he did so anyways realizing his secret was about to be exposed. He proposed and his fiance took off running. After Sven caught up to her she says she will marry him. Sven was worried for a second but then they were both very happy. They got to the plane and sat in the front. A lady next to them says she was recording their story and it has gone viral.",No.,,
2020-06-10 14:19:14,2020-06-10 14:21:00,IP Address,100,106,True,2020-06-10 14:21:01,R_vTcb4kG2EINgT29,anonymous,EN,5def71cd68885201653393ab,Female,Not Hispanic or Latino,White,20,Yes,maria wanted to break up with her boyfriend so during the lecture she told him she wants to break up as she is leaving for her study abroad after class. he says they shouldn't break up  because he loves her and he can visit her. she insisits but wants her alpaca sweatshirt back from his room so he agrees to go and get it. the class was about aristotle and there is an exam coming up. they hug goodbye and he is upset. ,no,,
